code,fullname,firsname,lastname,MaritalStatus,Gender,YearlyIncome,Education,Occupation
11036,,Jennifer,Russell,M,F,60000,Partial College,Skilled Manual
11037,,Chloe,Garcia,S,F,40000,Partial High School,Clerical
11038,,Diana,Hernandez,M,F,10000,Partial High School,Clerical
11039,,Marc,Martin,M,M,30000,Partial College,Clerical
11040,,Jesse,Murphy,M,M,30000,Partial College,Skilled Manual
11041,,Amanda,Carter,M,F,60000,Partial College,Skilled Manual
11042,,Megan,Sanchez,M,F,70000,Partial College,Skilled Manual
11043,,Nathan,Simmons,M,M,60000,Partial College,Skilled Manual
11044,,Adam,Flores,M,M,20000,Partial High School,Clerical
11045,,Leonard,Nara,S,M,30000,High School,Skilled Manual
11046,,Christine,Yuan,M,F,30000,High School,Skilled Manual
11047,,Jaclyn,Lu,M,F,30000,High School,Skilled Manual
11048,,Jeremy,Powell,M,M,30000,High School,Skilled Manual
11049,,Carol,Rai,S,F,40000,Partial High School,Clerical
11050,,Alan,Zheng,M,M,30000,High School,Skilled Manual
11051,,Daniel,Johnson,S,M,30000,High School,Skilled Manual
11052,,Heidi,Lopez,S,F,40000,Partial College,Clerical
11053,,Ana,Price,M,F,60000,Partial College,Skilled Manual
11054,,Deanna,Munoz,M,F,40000,Partial College,Skilled Manual
11055,,Gilbert,Raje,M,M,40000,Partial College,Skilled Manual
11056,,Michele,Nath,M,F,40000,Partial College,Skilled Manual
11057,,Carl,Andersen,M,M,70000,Graduate Degree,Management
11058,,Marc,Diaz,M,M,80000,Partial College,Skilled Manual
11059,,Ashlee,Andersen,S,F,80000,Partial College,Skilled Manual
11060,,Jon,Zhou,M,M,80000,Partial College,Skilled Manual
11061,,Todd,Gao,M,M,80000,Partial College,Skilled Manual
11062,,Noah,Powell,M,M,40000,High School,Skilled Manual
11063,,Angela,Murphy,S,F,40000,High School,Skilled Manual
11064,,Chase,Reed,M,M,40000,High School,Skilled Manual
11065,,Jessica,Henderson,M,F,60000,Partial College,Skilled Manual
11066,,Grace,Butler,M,F,70000,Partial College,Professional
11067,,Caleb,Carter,S,M,60000,Partial College,Professional
11068,,Tiffany,Liang,S,F,80000,High School,Skilled Manual
11069,,Carolyn,Navarro,S,F,80000,High School,Skilled Manual
11070,,Willie,Raji,M,M,80000,High School,Skilled Manual
11071,,Linda,Serrano,S,F,80000,High School,Skilled Manual
11072,,Casey,Luo,S,F,80000,High School,Skilled Manual
11073,,Amy,Ye,S,F,70000,High School,Skilled Manual
11074,,Levi,Arun,S,M,70000,High School,Skilled Manual
11075,,Felicia,Jimenez,S,F,80000,High School,Professional
11076,,Blake,Anderson,S,M,80000,High School,Professional
11077,,Leah,Ye,S,F,80000,High School,Professional
11078,,Gina,Martin,S,F,40000,High School,Professional
11079,,Donald,Gonzalez,S,M,160000,Graduate Degree,Management
11080,,Damien,Chander,M,M,170000,Graduate Degree,Management
11081,,Savannah,Baker,M,F,120000,Bachelors,Management
11082,,Angela,Butler,S,F,130000,Graduate Degree,Management
11083,,Alyssa,Cox,M,F,130000,Graduate Degree,Management
11084,,Lucas,Phillips,S,M,80000,Partial High School,Skilled Manual
11085,,Emily,Johnson,S,F,60000,High School,Professional
11086,,Ryan,Brown,M,M,70000,Partial College,Professional
11087,,Tamara,Liang,M,F,70000,Partial College,Professional
11088,,Hunter,Davis,M,M,80000,Bachelors,Management
11089,,Abigail,Price,S,F,80000,Bachelors,Management
11090,,Trevor,Bryant,S,M,90000,Partial College,Professional
11091,,Dalton,Perez,M,M,90000,Partial College,Professional
11092,,Cheryl,Diaz,M,F,90000,Bachelors,Professional
11093,,Aimee,He,M,F,100000,Graduate Degree,Management
11094,,Cedric,Ma,S,M,70000,Partial College,Skilled Manual
11095,,Chad,Kumar,S,M,70000,Partial College,Skilled Manual
11096,,Andrés,Anand,M,M,60000,Bachelors,Professional
11097,,Edwin,Nara,M,M,60000,Partial College,Skilled Manual
11098,,Mallory,Rubio,S,F,60000,Partial College,Skilled Manual
11099,,Adam,Ross,M,M,60000,Bachelors,Professional
11100,,Latasha,Navarro,S,F,60000,Partial College,Skilled Manual
11101,,Abby,Sai,S,F,70000,Bachelors,Professional
11102,,Julia,Nelson,S,F,80000,Bachelors,Professional
11103,,Cassie,Chande,S,F,70000,Bachelors,Professional
11104,,Edgar,Sara,M,M,70000,Bachelors,Professional
11105,,Candace,Fernandez,S,F,70000,Bachelors,Professional
11106,,Jessie,Liu,S,M,70000,Bachelors,Professional
11107,,Bianca,Lin,M,F,90000,Bachelors,Professional
11108,,Kari,Alvarez,S,F,70000,Bachelors,Professional
11109,,Ruben,Kapoor,S,M,70000,Bachelors,Professional
11110,,Curtis,Yang,M,M,60000,Partial College,Skilled Manual
11111,,Meredith,Gutierrez,M,F,60000,Partial College,Skilled Manual
11112,,Crystal,Wang,M,F,60000,Partial College,Skilled Manual
11113,,Micheal,Blanco,M,M,70000,Bachelors,Professional
11114,,Leslie,Moreno,S,F,70000,Partial College,Skilled Manual
11115,,Alvin,Cai,M,M,70000,Partial College,Skilled Manual
11116,,Clinton,Carlson,M,M,70000,Partial College,Skilled Manual
11117,,April,Deng,M,F,70000,Partial College,Skilled Manual
11118,,Alvin,Zeng,S,M,80000,Partial College,Skilled Manual
11119,,Evan,James,S,M,30000,Partial College,Clerical
11120,,Beth,Jiménez,S,F,40000,Bachelors,Management
11121,,Orlando,Suarez,M,M,70000,Partial College,Skilled Manual
11122,,Byron,Vazquez,M,M,70000,Partial College,Skilled Manual
11123,,Philip,Alvarez,M,M,70000,Partial College,Skilled Manual
11124,,Ross,Jordan,S,M,80000,Partial College,Skilled Manual
11125,,Dana,Navarro,S,F,70000,Partial College,Skilled Manual
11126,,Shaun,Carson,M,M,10000,High School,Skilled Manual
11127,,Jan,Edwards,M,F,40000,High School,Skilled Manual
11128,,Samantha,Long,M,F,40000,High School,Skilled Manual
11129,,Julia,Wright,S,F,40000,High School,Skilled Manual
11130,,Caroline,Russell,M,F,30000,High School,Skilled Manual
11131,,Amanda,Rivera,M,F,30000,High School,Skilled Manual
11132,,Melissa,Richardson,S,F,30000,High School,Skilled Manual
11133,,Angela,Griffin,S,F,30000,Partial High School,Clerical
11134,,Larry,Townsend,S,M,10000,High School,Skilled Manual
11135,,Marcus,Harris,S,M,30000,Partial High School,Clerical
11136,,Brianna,Morgan,S,F,40000,High School,Skilled Manual
11137,,Jasmine,Taylor,M,F,40000,High School,Skilled Manual
11138,,Lauren,Davis,M,F,40000,High School,Skilled Manual
11139,,Tanya,Moreno,S,F,30000,Partial College,Clerical
11140,,Javier,Alvarez,S,M,30000,Partial High School,Clerical
11141,,Nicole,Ramirez,M,F,40000,High School,Skilled Manual
11142,,Eduardo,Patterson,S,M,40000,High School,Skilled Manual
11143,,Jonathan,Henderson,M,M,40000,High School,Skilled Manual
11144,,Edward,Hernandez,S,M,40000,High School,Skilled Manual
11145,,Jasmine,Coleman,S,F,40000,High School,Skilled Manual
11146,,Karla,Goel,S,F,40000,Bachelors,Management
11147,,Ernest,Wu,M,M,60000,Graduate Degree,Management
11148,,Ross,Vazquez,M,M,40000,Bachelors,Management
11149,,Theodore,Gill,M,M,40000,Bachelors,Management
11150,,Russell,Shen,S,M,40000,Bachelors,Management
11151,,Melinda,Gill,S,F,60000,Graduate Degree,Management
11152,,James,Williams,S,M,40000,High School,Skilled Manual
11153,,Angela,James,M,F,40000,High School,Skilled Manual
11154,,Megan,Walker,S,F,40000,Partial College,Skilled Manual
11155,,Hunter,Robinson,S,M,40000,Partial College,Skilled Manual
11156,,Maria,Roberts,S,F,40000,Partial College,Skilled Manual
11157,,Hannah,Long,M,F,40000,High School,Skilled Manual
11158,,Jason,Wright,S,M,40000,High School,Skilled Manual
11159,,Brianna,Hughes,S,F,40000,High School,Skilled Manual
11160,,Maurice,Tang,S,M,40000,Partial College,Skilled Manual
11161,,Emily,Wood,S,F,40000,Partial College,Skilled Manual
11162,,Chase,Cox,S,M,40000,Partial College,Skilled Manual
11163,,Gabriel,Wang,M,M,40000,Partial College,Skilled Manual
11164,,Devin,Brooks,S,M,40000,Partial College,Skilled Manual
11165,,Jocelyn,Alexander,M,F,60000,Partial College,Skilled Manual
11166,,Ashley,Martinez,S,F,70000,Partial College,Skilled Manual
11167,,Jasmine,Barnes,S,F,80000,Bachelors,Management
11168,,David,Rodriguez,S,M,80000,Bachelors,Management
11169,,Bryce,Richardson,M,M,90000,Bachelors,Management
11170,,Carol,Howard,M,F,90000,Bachelors,Management
11171,,Jonathan,Hill,S,M,100000,Bachelors,Management
11172,,Gabrielle,Adams,M,F,100000,Bachelors,Management
11173,,Sarah,Thomas,S,F,110000,Graduate Degree,Management
11174,,Nicholas,Robinson,M,M,110000,Graduate Degree,Management
11175,,Luis,Wang,S,M,70000,Partial College,Skilled Manual
11176,,Mason,Roberts,M,M,90000,Bachelors,Management
11177,,Jose,Flores,M,M,110000,Graduate Degree,Management
11178,,Nathan,Johnson,M,M,100000,Graduate Degree,Management
11179,,Molly,Rodriguez,M,F,120000,Graduate Degree,Management
11180,,April,Anand,M,F,160000,Bachelors,Management
11181,,Devin,Martin,M,M,170000,Graduate Degree,Management
11182,,Stephanie,Torres,S,F,70000,Bachelors,Management
11183,,Jasmine,Lee,S,F,70000,Bachelors,Management
11184,,Meghan,Hernandez,S,F,70000,Bachelors,Management
11185,,Ashley,Henderson,S,F,70000,Bachelors,Management
11186,,Sarah,Price,S,F,70000,Bachelors,Management
11187,,Jennifer,Cooper,M,F,60000,Graduate Degree,Management
11188,,Catherine,Morris,M,F,60000,Graduate Degree,Management
11189,,Lawrence,Blanco,S,M,60000,Graduate Degree,Management
11190,,Carson,Bryant,M,M,70000,Bachelors,Management
11191,,Kristi,Perez,S,F,70000,Bachelors,Management
11192,,James,Brown,M,M,60000,Bachelors,Management
11193,,Ian,Gray,M,M,60000,Bachelors,Management
11194,,Jacqueline,Price,M,F,60000,Bachelors,Management
11195,,Megan,Henderson,M,F,60000,Bachelors,Management
11196,,Alfredo,Romero,M,M,60000,Bachelors,Management
11197,,Andrea,Morris,M,F,70000,Bachelors,Management
11198,,Brooke,Sanders,S,F,70000,Bachelors,Management
11199,,Jacqueline,Bennett,M,F,70000,Bachelors,Management
11200,,Jason,Griffin,M,M,70000,Bachelors,Management
11201,,Amanda,Foster,M,F,70000,Bachelors,Management
11202,,Alexia,Price,M,F,80000,Bachelors,Management
11203,,Luis,Diaz,M,M,40000,High School,Professional
11204,,Destiny,Rivera,M,F,40000,High School,Professional
11205,,Abby,Fernandez,M,F,40000,High School,Professional
11206,,Blake,Flores,M,M,60000,Partial College,Professional
11207,,Danielle,Cox,S,F,60000,Partial College,Professional
11208,,Maria,Reed,M,F,60000,Bachelors,Management
11209,,Allison,Evans,M,F,60000,Bachelors,Management
11210,,Edward,Wood,M,M,70000,Partial College,Professional
11211,,Samantha,Russell,M,F,40000,High School,Professional
11212,,Chloe,Campbell,M,F,40000,High School,Professional
11213,,Stephanie,Murphy,S,F,60000,Partial College,Professional
11214,,Charles,Miller,S,M,60000,Partial College,Professional
11215,,Ana,Perry,M,F,40000,Partial High School,Skilled Manual
11216,,Jasmine,Torres,S,F,60000,Partial College,Professional
11217,,Natalie,Adams,S,F,60000,Partial College,Professional
11218,,Olivia,Brown,S,F,60000,Partial College,Professional
11219,,Charles,Cook,M,M,60000,High School,Professional
11220,,Erica,Huang,M,F,60000,Partial College,Professional
11221,,Nathan,Perry,M,M,70000,Partial College,Professional
11222,,Alexandra,Rivera,M,F,80000,Bachelors,Management
11223,,Hailey,Patterson,S,F,70000,High School,Professional
11224,,Tiffany,Li,S,F,70000,High School,Professional
11225,,Madison,Lee,M,F,60000,Partial College,Professional
11226,,Sydney,Ross,M,F,60000,Partial College,Professional
11227,,Marshall,Chavez,S,M,60000,Partial College,Professional
11228,,Ashley,Jones,M,F,60000,Partial College,Professional
11229,,Adrian,Stewart,S,M,70000,Partial College,Professional
11230,,Amber,Turner,M,F,70000,Partial College,Professional
11231,,Dennis,Zhang,M,M,60000,High School,Professional
11232,,Hailey,Bryant,M,F,60000,High School,Professional
11233,,Todd,Li,M,M,70000,Partial College,Professional
11234,,Anna,Griffin,S,F,70000,Partial College,Professional
11235,,Angel,Stewart,M,M,70000,Partial College,Professional
11236,,Jeremy,Butler,S,M,70000,Partial College,Professional
11237,,Clarence,Anand,S,M,130000,Bachelors,Management
11238,,Mayra,Prasad,S,F,130000,Bachelors,Management
11239,,Latoya,Goel,M,F,130000,Partial College,Professional
11240,,Anne,Hernandez,M,F,160000,Partial College,Professional
11241,,Lisa,Cai,S,F,100000,Partial College,Professional
11242,,Larry,Munoz,M,M,110000,Partial College,Professional
11243,,Robin,Alvarez,M,F,150000,Partial College,Professional
11244,,Alexis,Coleman,S,F,170000,Bachelors,Management
11245,,Ricky,Vazquez,M,M,120000,High School,Professional
11246,,Latasha,Rubio,M,F,120000,High School,Professional
11247,,Claudia,Zhou,S,F,130000,Partial College,Professional
11248,,Tristan,Alexander,M,M,110000,Partial College,Professional
11249,,Cindy,Patel,M,F,130000,Partial College,Professional
11250,,Shannon,Liu,M,F,170000,High School,Professional
11251,,Xavier,Long,S,M,30000,High School,Professional
11252,,Nicholas,Thompson,S,M,90000,Graduate Degree,Management
11253,,José,Hernandez,M,M,60000,Graduate Degree,Management
11254,,Johnathan,Vance,M,M,70000,Graduate Degree,Management
11255,,Colin,Lin,M,M,70000,Graduate Degree,Management
11256,,Katelyn,Hernandez,M,F,70000,Graduate Degree,Management
11257,,Jacqueline,Powell,S,F,120000,Graduate Degree,Management
11258,,Xavier,Hill,M,M,120000,Graduate Degree,Management
11259,,Victoria,Stewart,M,F,100000,Partial College,Professional
11260,,Katelyn,Kelly,M,F,110000,Bachelors,Management
11261,,Stephanie,Collins,M,F,130000,Graduate Degree,Management
11262,,Jennifer,Simmons,M,F,80000,Bachelors,Management
11263,,Trinity,Richardson,M,F,90000,Partial College,Professional
11264,,Eduardo,Martin,S,M,90000,Partial College,Professional
11265,,Elizabeth,Jones,M,F,90000,Partial College,Professional
11266,,Taylor,Howard,S,F,90000,Partial College,Professional
11267,,David,Diaz,S,M,120000,Partial College,Professional
11268,,Katelyn,Carter,M,F,130000,Graduate Degree,Management
11269,,Ryan,Foster,M,M,130000,Graduate Degree,Management
11270,,Robert,Lee,M,M,130000,Graduate Degree,Management
11271,,Danielle,Reed,S,F,150000,Bachelors,Management
11272,,Lauren,Martinez,S,F,70000,Partial College,Professional
11273,,Nathan,Lal,M,M,90000,Partial College,Professional
11274,,Kyle,Foster,M,M,50000,Graduate Degree,Management
11275,,Jenny,Rai,M,F,80000,Graduate Degree,Management
11276,,Nancy,Chapman,M,F,80000,Partial College,Professional
11277,,Charles,Jackson,M,M,80000,Partial College,Professional
11278,,Jonathan,Phillips,S,M,90000,Partial College,Professional
11279,,Amanda,Cook,M,F,90000,Partial College,Professional
11280,,Robert,Collins,M,M,90000,Partial College,Professional
11281,,Megan,Barnes,S,F,110000,Bachelors,Management
11282,,Christian,Thomas,M,M,90000,Partial College,Professional
11283,,Arturo,Lal,M,M,110000,Bachelors,Management
11284,,Theresa,Serrano,M,F,110000,Bachelors,Management
11285,,Jeremy,Anderson,M,M,120000,Partial College,Professional
11286,,Hunter,Griffin,M,M,170000,Graduate Degree,Management
11287,,Henry,Garcia,M,M,70000,Partial College,Professional
11288,,Cindy,Sanchez,M,F,110000,Bachelors,Management
11289,,Maria,Carter,M,F,130000,Bachelors,Management
11290,,Katelyn,Sanchez,M,F,130000,Bachelors,Management
11291,,Jenna,Wright,M,F,130000,Bachelors,Management
11292,,Seth,Phillips,S,M,150000,Partial College,Professional
11293,,Luke,Long,S,M,60000,High School,Professional
11294,,Dalton,Clark,M,M,60000,High School,Professional
11295,,Taylor,Lewis,S,F,80000,Partial High School,Skilled Manual
11296,,Haley,Richardson,S,F,50000,Graduate Degree,Management
11297,,Noah,Coleman,S,M,70000,Graduate Degree,Management
11298,,Jon,Luo,M,M,70000,Graduate Degree,Management
11299,,Orlando,Vazquez,M,M,70000,Graduate Degree,Management
11300,,Fernando,Barnes,M,M,80000,Partial College,Professional
11301,,Cameron,Rodriguez,M,M,80000,Partial College,Professional
11302,,Spencer,Russell,S,M,90000,High School,Professional
11303,,Julia,Coleman,S,F,90000,High School,Professional
11304,,Julia,Garcia,M,F,100000,Partial College,Professional
11305,,Sean,Evans,M,M,110000,Partial College,Professional
11306,,Micah,Zhou,M,M,110000,Partial College,Professional
11307,,Hunter,Rodriguez,M,M,80000,Partial High School,Skilled Manual
11308,,Ian,Gonzales,M,M,60000,High School,Professional
11309,,Victoria,Lewis,S,F,60000,High School,Professional
11310,,Erin,Sanders,S,F,70000,Graduate Degree,Management
11311,,Gabrielle,Lopez,S,F,70000,Graduate Degree,Management
11312,,Sara,Richardson,S,F,70000,Graduate Degree,Management
11313,,Trevor,Jenkins,S,M,70000,Graduate Degree,Management
11314,,Mya,Flores,S,F,70000,Graduate Degree,Management
11315,,Hailey,Ward,S,F,70000,Graduate Degree,Management
11316,,Luke,Allen,M,M,60000,Graduate Degree,Management
11317,,Victoria,Russell,S,F,40000,Partial College,Professional
11318,,Jessica,Wilson,S,F,40000,Partial College,Professional
11319,,Jade,Bailey,M,F,70000,Graduate Degree,Management
11320,,Morgan,Hill,M,F,80000,Graduate Degree,Management
11321,,Terrance,Raman,M,M,90000,Bachelors,Management
11322,,Sydney,Garcia,M,F,90000,Bachelors,Management
11323,,Jose,Patterson,S,M,120000,Graduate Degree,Management
11324,,Zachary,Anderson,M,M,90000,Bachelors,Management
11325,,Elijah,Ross,S,M,90000,Bachelors,Management
11326,,Rafael,Xie,M,M,130000,Bachelors,Management
11327,,Jaime,Moreno,M,M,90000,Bachelors,Management
11328,,Julian,Griffin,M,M,90000,Bachelors,Management
11329,,Andy,Alvarez,S,M,90000,Bachelors,Management
11330,,Ryan,Thompson,M,M,110000,Graduate Degree,Management
11331,,Samantha,Jenkins,M,F,90000,Partial College,Skilled Manual
11332,,Deanna,Ramos,S,F,10000,Graduate Degree,Manual
11333,,Emily,Miller,M,F,20000,Graduate Degree,Clerical
11334,,Nicole,Brown,M,F,10000,Bachelors,Manual
11335,,Carla,Raman,M,F,10000,Bachelors,Manual
11336,,Shaun,Raji,M,M,20000,Graduate Degree,Clerical
11337,,Jerome,Romero,M,M,10000,Bachelors,Manual
11338,,Frank,Navarro,M,M,20000,Graduate Degree,Clerical
11339,,Dennis,She,S,M,20000,Graduate Degree,Clerical
11340,,Melody,Munoz,M,F,10000,Graduate Degree,Clerical
11341,,Randy,Zeng,M,M,20000,Graduate Degree,Clerical
11342,,Marshall,Wang,M,M,30000,Graduate Degree,Clerical
11343,,Arthur,Carlson,M,M,10000,Bachelors,Manual
11344,,Jessie,Jimenez,M,F,10000,Partial College,Manual
11345,,Robin,Ramos,S,F,10000,Partial College,Manual
11346,,Deanna,Gutierrez,S,F,10000,Partial College,Manual
11347,,Roy,Navarro,M,M,10000,Partial College,Manual
11348,,Shawn,Rai,M,M,10000,Partial College,Manual
11349,,Mindy,Luo,M,F,10000,Partial College,Manual
11350,,Cara,Zhou,M,F,30000,Graduate Degree,Clerical
11351,,Anne,Ramos,S,F,20000,Bachelors,Clerical
11352,,Raymond,Rodriguez,M,M,10000,Partial College,Manual
11353,,Carrie,Ortega,S,F,30000,Bachelors,Clerical
11354,,Deanna,Suarez,M,F,20000,Partial College,Manual
11355,,Roberto,Gutierrez,M,M,40000,Graduate Degree,Clerical
11356,,Terrence,Carson,S,M,10000,Partial College,Manual
11357,,Ramon,Ye,S,M,10000,Partial College,Manual
11358,,Cynthia,Malhotra,S,F,10000,Partial College,Manual
11359,,Jarrod,Prasad,S,M,10000,Partial College,Manual
11360,,Tyrone,Serrano,S,M,10000,Partial College,Manual
11361,,Cindy,Ramos,M,F,10000,High School,Manual
11362,,Damien,Shan,M,M,10000,High School,Manual
11363,,Julian,Ross,S,M,10000,High School,Manual
11364,,Jennifer,Collins,S,F,10000,High School,Manual
11365,,Brittney,Sun,S,F,10000,High School,Manual
11366,,Virginia,Patel,M,F,20000,Bachelors,Clerical
11367,,Calvin,Nara,M,M,20000,Bachelors,Clerical
11368,,Edward,Miller,S,M,10000,High School,Manual
11369,,Ashlee,Tang,M,F,20000,Bachelors,Clerical
11370,,Alicia,Xu,M,F,20000,Bachelors,Clerical
11371,,Lacey,Jai,M,F,20000,Bachelors,Clerical
11372,,Wendy,Romero,S,F,20000,Bachelors,Clerical
11373,,Carly,Luo,M,F,30000,Bachelors,Clerical
11374,,Jimmy,Ortega,S,M,30000,Bachelors,Clerical
11375,,Francisco,Martinez,M,M,30000,Bachelors,Clerical
11376,,Lance,Vazquez,S,M,40000,Graduate Degree,Clerical
11377,,David,Robinett,M,M,30000,Graduate Degree,Clerical
11378,,Shannon,Liang,S,F,10000,High School,Manual
11379,,Gary,Vazquez,M,M,10000,High School,Manual
11380,,Mitchell,Kumar,S,M,20000,Partial College,Manual
11381,,Meredith,Raman,M,F,20000,Partial College,Manual
11382,,Edward,Patterson,M,M,20000,Partial College,Manual
11383,,Marie,Gill,M,F,30000,Graduate Degree,Clerical
11384,,Tiffany,Wang,M,F,30000,Bachelors,Clerical
11385,,Miguel,Allen,S,M,30000,Bachelors,Clerical
11386,,Jaclyn,Cai,M,F,30000,Bachelors,Clerical
11387,,Megan,Ramirez,S,F,40000,Graduate Degree,Clerical
11388,,Joseph,Martin,M,M,40000,Graduate Degree,Clerical
11389,,Karl,Shan,S,M,10000,High School,Manual
11390,,Christine,Raji,S,F,10000,High School,Manual
11391,,Lindsay,Xie,S,F,10000,High School,Manual
11392,,Willie,Zhao,S,M,10000,High School,Manual
11393,,Kurt,Pal,S,M,10000,High School,Manual
11394,,George,McDonald,S,M,10000,High School,Manual
11395,,Beth,Gutierrez,S,F,30000,Bachelors,Clerical
11396,,Ian,Lopez,M,M,10000,High School,Manual
11397,,Latoya,Shan,S,F,20000,Partial College,Manual
11398,,Colin,Nath,S,M,30000,Bachelors,Clerical
11399,,Brenda,Mehta,S,F,30000,Bachelors,Clerical
11400,,Franklin,Raji,S,M,40000,Graduate Degree,Clerical
11401,,Linda,Navarro,M,F,40000,Graduate Degree,Clerical
11402,,Kelli,Cai,M,F,40000,Graduate Degree,Clerical
11403,,Nancy,Schmidt,S,F,40000,Graduate Degree,Clerical
11404,,Megan,Taylor,S,F,10000,Partial College,Manual
11405,,Bonnie,Goel,S,F,10000,Partial College,Manual
11406,,Latoya,Xu,M,F,20000,Partial College,Manual
11407,,Mario,She,M,M,20000,Partial College,Manual
11408,,Darren,Gill,M,M,10000,High School,Manual
11409,,Jacqueline,Hayes,S,F,10000,High School,Manual
11410,,Maurice,Goel,M,M,20000,Partial College,Manual
11411,,Devin,Ross,M,M,80000,Partial College,Professional
11412,,Sydney,Bryant,S,F,80000,Partial College,Professional
11413,,Megan,Stewart,M,F,80000,Partial College,Professional
11414,,Ian,Richardson,S,M,80000,Partial College,Professional
11415,,Randy,She,S,M,90000,Partial College,Professional
11416,,Katrina,Becker,M,F,60000,Partial High School,Skilled Manual
11417,,Lacey,Zheng,M,F,70000,High School,Professional
11418,,Rafael,Hu,S,M,90000,Partial College,Professional
11419,,Kyle,Scott,M,M,150000,Graduate Degree,Management
11420,,Jordan,Turner,M,M,100000,Bachelors,Management
11421,,Amy,Sun,M,F,110000,Bachelors,Management
11422,,Dustin,Deng,M,M,170000,Bachelors,Management
11423,,Jasmine,Stewart,M,F,80000,Partial College,Professional
11424,,Pamela,Garcia,M,F,80000,Partial College,Professional
11425,,Ariana,Gray,M,F,90000,High School,Professional
11426,,Kristopher,Mehta,M,M,110000,Bachelors,Management
11427,,Desiree,Dominguez,M,F,110000,Partial College,Professional
11428,,Deanna,Perez,S,F,120000,Bachelors,Management
11429,,Marco,Lopez,M,M,80000,Partial College,Professional
11430,,Casey,Yuan,M,F,90000,High School,Professional
11431,,Bryant,Garcia,M,M,110000,Partial College,Professional
11432,,Dominique,Prasad,M,F,80000,High School,Professional
11433,,Maurice,Shan,M,M,80000,High School,Professional
11434,,Andre,Lopez,M,M,170000,Partial College,Professional
11435,,Robin,Romero,S,F,100000,Partial College,Management
11436,,Taylor,Cox,M,F,160000,Partial College,Management
11437,,Alfredo,Moreno,M,M,90000,High School,Management
11438,,Jenny,Nara,M,F,130000,High School,Management
11439,,Janet,Munoz,M,F,90000,High School,Management
11440,,Sergio,Weber,M,M,80000,Partial High School,Skilled Manual
11441,,Erika,Gomez,M,F,90000,Partial High School,Skilled Manual
11442,,Joseph,Harris,M,M,90000,Partial High School,Skilled Manual
11443,,Grace,Griffin,S,F,60000,Bachelors,Professional
11444,,Tina,Mehta,M,F,70000,Bachelors,Professional
11445,,Kari,Kim,S,F,70000,Bachelors,Professional
11446,,Bethany,Chander,S,F,70000,Bachelors,Professional
11447,,Jennifer,Roberts,M,F,70000,Bachelors,Professional
11448,,Kyle,Patterson,S,M,80000,Bachelors,Professional
11449,,Alvin,Hu,M,M,80000,Bachelors,Professional
11450,,Brett,Mehta,S,M,130000,High School,Management
11451,,Ruben,Muñoz,S,M,70000,Bachelors,Professional
11452,,Erika,Rubio,S,F,80000,Bachelors,Professional
11453,,Stanley,Malhotra,S,M,80000,Bachelors,Professional
11454,,Melinda,Navarro,S,F,80000,Bachelors,Professional
11455,,Ross,Sanz,M,M,100000,High School,Management
11456,,Jon,Gao,M,M,120000,Partial High School,Professional
